block,blockHash,timestamp,chainlink,aave,eth1,eth10,eth100,weth1,weth10,weth100
23549939,0x965cc1fbaaa1e134a5ed4649e8d55ed10f791577059e86b2bd1f95822d2ddf12,2025-10-10T21:14:11Z,3716.8488537531775,3846.129144020368,3759.910802,3740.9874249,3706.71569512,3750.501078,3743.4869074,3710.29870634
23549942,0xa8d4e03c7646e084c487818e44b889e8056f4b171aa4e88d48c95259c38e9073,2025-10-10T21:14:47Z,3754.41025254533,3819.0395211490936,3748.882474,3719.5685308,3664.0725487,3713.881049,3705.9717886,3678.00779732
23549945,0x7b7b91c676b6636d6d8b08b1ed1175836bb2b4a2e2a062274f7a37eda6df60b8,2025-10-10T21:15:23Z,3699.7281970652043,3819.0395211490936,3778.912592,3767.6844341,3739.37507916,3775.870393,3772.3067574,3753.87659519
23549948,0x69ee3c874028b9e40d473f9f2dc47c76063b1ab74e240f2d838a47204576f932,2025-10-10T21:15:59Z,3699.7281970652043,3747.2739540027023,3756.207732,3725.8057277,3702.58545319,3761.294208,3740.9498925,3716.58107881
23549951,0x18f8315b41f0393056e7e77af77c3a1dbb08a0320f038ea7fecfb99fda62520f,2025-10-10T21:16:35Z,3734.686190771563,3704.241297122887,3674.906085,3663.0035681,3637.89675654,3695.113562,3692.8788134,3676.65775678
23549954,0x22ebbdedf2cc8ee4f4018cde4584d55d917756f5997a84fd22a305e79f35a84d,2025-10-10T21:17:11Z,3734.686190771563,3704.241297122887,3673.389538,3658.4769477,3627.24977607,3674.284906,3668.2089438,3647.54899686
23549957,0x589d03264c3b0ba7d31f96ad0e82803a028ec41ca90079c65fbc7f8ea4218db8,2025-10-10T21:17:47Z,3584.457032286432,3747.560358277801,3647.867861,3629.2662643,3589.45878472,3637.66864,3631.9579394,3609.37872018
23549960,0x8232b6abfb4f0dfaa21ce6d5d8afdee1f2f4792b1674bb22fc3729e7de6fc5bf,2025-10-10T21:18:23Z,3651.932194347225,3747.560358277801,3612.891711,3574.1382828,3533.60830844,3634.036352,3607.3303458,3555.38858787
23549963,0x2ce316cffbb05ee60792fa5d08e68ffca7f772e4525b44f7f54b38077d078318,2025-10-10T21:18:59Z,3595.3528714645527,3585.3371302672645,3641.016306,3562.9058712,3499.24968307,3636.234815,3591.8505342,3486.83103677
23549966,0x84f3f13724d20ec4fba2fa312bc33cc0f0f531d566cb7d50b2c5faf31a9c0e10,2025-10-10T21:19:35Z,3595.3528714645527,3585.3371302672645,3560.776951,3463.3298199,3422.2709548,3505.059013,3478.4342074,3446.67032018
23549969,0xb176d819380cb233fd6ae5c4db5f6cbc7b4fa47f3c4683607c9a88da69d3b170,2025-10-10T21:20:11Z,3500.760627967851,3585.3371302672645,3518.019688,3471.7066336,3408.79282473,3505.088819,3467.9954568,3441.5951343
23549972,0xbb321c1c691f9b61031e75ecd681360a448d542a8bc592be03d06a877a4e6dd9,2025-10-10T21:20:47Z,3465.135193566509,3585.3371302672645,3532.479124,3504.2656358,3446.87315699,3505.335448,3461.2009039,3436.99736006
23549975,0xb75f510f7f936391aab6ce90952bdd02802e025c7947d7c54b8ff803a3b89f90,2025-10-10T21:21:23Z,3465.135193566509,3549.590413555911,3518.151203,3435.196966,3347.16380825,3460.352839,3428.1571771,3377.42830338
23549978,0x5fffe65f73997b207243cdcba69614e71cf0770a5be3fc01caaa299a5645e055,2025-10-10T21:21:59Z,3524.1486600368867,3549.590413555911,3518.140721,3435.1934972,3335.77238897,3531.085612,3526.3928346,3502.4986406
23549981,0x010d48b80fa1e13e4cef08c52f9017a923165d94288c37e8ff2ef2b0ea6ad67c,2025-10-10T21:22:35Z,3524.1486600368867,3457.424504930417,3518.002976,3434.9637248,3332.89025629,3481.264783,3416.4720208,3350.69425085
23549984,0xbde45cbcf413e2f082aaedbd57c18cd0e6505a88cee4578980e725d6bc9c5443,2025-10-10T21:23:11Z,3524.1486600368867,3457.424504930417,3449.261585,3341.2041371,3303.0113807,3589.236057,3463.3631569,3332.77219571
23549987,0x932ec933f7505f02aab9cfea539045d47ad10b92f104a2d2c276ade3d1812182,2025-10-10T21:23:47Z,3524.1486600368867,3457.424504930417,3449.261613,3343.1898031,3297.50616972,3408.893013,3367.5232225,3322.34662124
23549990,0x6a653b3ac704e375d7c9ae8a684b018f6731e0ac746131629d516cbffd89aa0f,2025-10-10T21:24:23Z,3667.2392931853424,3457.424504930417,3588.902453,3435.4191702,3297.51119974,3619.708666,3617.4909926,3597.67888017
23549993,0xc588fa6e4f777470dd805682556262c69072f287db823021e22b2d394cbecd33,2025-10-10T21:24:59Z,3667.2392931853424,3457.424504930417,3522.620645,3377.6165251,3300.06688578,3572.152336,3445.4129055,3324.65433934
23549996,0x1ba955818ae7468457ff1902a5b73ec12dd52c3f9f31dbdf000d47c0ccec2377,2025-10-10T21:25:35Z,3642.6582779619475,3655.288938262725,3449.62396,3343.4858518,3293.75640054,3398.458584,3336.6642486,3295.03018821
23549999,0x6a5f1d46fd840938979ff7afe5093fe64db85b4d1ad8c211a27d129947c04bec,2025-10-10T21:26:11Z,3642.6582779619475,3655.288938262725,3556.27537,3416.1055334,3337.52723215,3404.315029,3377.9003915,3361.53614243
23550002,0x93d3c36b98ecce18b336dfbd22a840390074b69b236a9591a374ba1a1a92e4b6,2025-10-10T21:26:47Z,3642.6582779619475,3655.288938262725,3450.486298,3395.8789415,3358.01582263,3551.043968,3513.2450715,3400.83931177
23550005,0x85894532155be05a35fcf03ca469a9ae78ad29f671884b4f8a1776e6f3041e50,2025-10-10T21:27:23Z,3642.6582779619475,3630.8227515533285,3450.484753,3397.3939046,3362.60288351,3564.273626,3547.292351,3418.88411221
23550008,0xd25038ff3a5b0ad1ed482ed31fd9b3717f17dc9958bdd2155fb8a67fc2963fa2,2025-10-10T21:27:59Z,3571.8906560433356,3630.8227515533285,3450.484753,3368.5976438,3346.1272298,3425.111246,3384.1391338,3364.65812967
23550011,0x12ce27d1e14eb9cfd8b9abec94f453ac998b2fa6539861d368da2650be3f3948,2025-10-10T21:28:35Z,3571.8906560433356,3608.1453108266205,3423.091192,3355.5999348,3308.92101966,3425.25801,3356.6796256,3321.59304767
23550014,0xe965fbe57e7a5ede11e8ddb27a7cc2b28d0e954c8604713225ae796d2ae67d06,2025-10-10T21:29:11Z,3571.8906560433356,3608.1453108266205,3426.087822,3377.7839158,3341.41920926,3408.995171,3367.8742509,3327.04536543
23550017,0xc2a5d6f32a5c0ccf86980fddd6fd51ba505468b9718469ea3f90da44ab463f73,2025-10-10T21:29:47Z,3571.8906560433356,3571.030735549756,3551.982161,3435.4533143,3360.1303239,3467.79189,3419.0125243,3368.43241536
23550020,0x8b495f6d13a48ce9420ebb269f2e52e5fd0d752083f7db37f7ec45eafb99d84d,2025-10-10T21:30:23Z,3571.8906560433356,3571.030735549756,3423.783702,3373.1879379,3344.50928167,3519.174249,3467.1597805,3359.01044273
23550023,0xa5343136e12d95a9e91e14778f7ef77a0c6b2e4531d84e8a2ef29dcc6ecaa791,2025-10-10T21:30:59Z,3571.8906560433356,3602.1789457000737,3414.303382,3356.2320818,3343.34178295,3416.63322,3364.7339853,3345.02187969
23550026,0xf6ce9802044672d899d9c51e15332592e007a5f702971aea6074a6c0fb017493,2025-10-10T21:31:35Z,3597.5356775796763,3602.1789457000737,3411.29961,3352.9284131,3345.89470843,3399.905931,3370.8134026,3345.7723554
23550029,0x63c5bc426e2183aa5378331ede70d4a0d394bf21356e060de9b5257f41fb3deb,2025-10-10T21:32:23Z,3678.722541669757,3638.838935043055,3421.275043,3364.2297276,3346.47212018,3405.192958,3376.2678597,3349.51326521
23550032,0xf9d0149adcf674aa8d2103274f8e28c8a240c3e245e0a1c1fba3408c1b99d4e9,2025-10-10T21:32:59Z,3733.4683736038337,3638.838935043055,3423.7274,3375.402465,3353.67233803,3410.440345,3388.0811063,3364.71653099
23550035,0x6800d8b533e34f802056dbf34a39b7646b5f7f47fe265441da96a3440d063911,2025-10-10T21:33:35Z,3733.4683736038337,3658.1098786389302,3448.995537,3415.0748101,3383.68918357,3402.340923,3378.0508814,3362.92995656
23550038,0x54f017a6d21e71ec2c6418efa471df30f726a1c4afbcc9be9d1e5d40a9c2ca55,2025-10-10T21:34:11Z,3733.4683736038337,3658.1098786389302,3440.300701,3403.5098541,3371.05507437,3421.649108,3407.7346748,3393.76869586
23550041,0x4f5756cedbed7c705b5be457770825260d44a41ce51cf4330cb6665819b9c4c7,2025-10-10T21:34:47Z,3733.4683736038337,3658.1098786389302,3430.201537,3384.1166248,3364.42812895,3407.978144,3387.4465736,3374.12894556
23550044,0x2742795d478dfa176d81f5595fe2a49f658f23fcf85ce7886ead8c83c7816d01,2025-10-10T21:35:23Z,3765.112533736566,3718.7543190243073,3425.815417,3378.6975208,3362.2345431,3420.091875,3401.8727923,3372.35264328
23550047,0x0529acfb881cd619b21b67f1dcdf5fa38fd430eebf900bad86bf4514ba2d60d3,2025-10-10T21:35:59Z,3765.112533736566,3760.803074416155,3447.081498,3418.4117835,3404.49346814,3431.667706,3420.5487378,3406.85346433
23550050,0xf949f80d941210e834c0e0fdbee7c521eb7e45b3d4ad8ee94f73d71bd5bd8d7a,2025-10-10T21:36:35Z,3765.112533736566,3760.803074416155,3452.209098,3419.6619307,3390.13181983,3421.864621,3406.7112739,3390.45388342
23550053,0x2cd71716b88df1df1f7b5cafa0e9f21ecdb58a47b9ab7cb244db0c2d5a6f56ce,2025-10-10T21:37:11Z,3753.530161658131,3760.803074416155,3441.034857,3404.6341734,3385.94350432,3426.399896,3408.928584,3389.99331805
23550056,0x586cad7573423a0ba640031639a7a80da903c76f920a96493b20345275c921ca,2025-10-10T21:37:47Z,3753.530161658131,3725.058298692334,3719.037004,3714.5223329,3670.40313852,3715.823179,3705.8121031,3634.81286475
23550059,0x705937e7284caefd14813565357cc8e751e758544082cb1dd191f036c820cda8,2025-10-10T21:38:23Z,3753.530161658131,3725.058298692334,3487.837976,3466.9317423,3444.15829249,3531.739219,3492.4555116,3459.0643638
