block,blockHash,timestamp,v3Spot,chainlink,aave,ethUsd,usdcUsd,ethFeedAgeSeconds,usdcFeedAgeSeconds,ethRoundId,ethUpdatedAt,aggregated1,v31,report1,aggregated10,v310,report10,aggregated100,v3100,report100
23549939,0x965cc1fbaaa1e134a5ed4649e8d55ed10f791577059e86b2bd1f95822d2ddf12,2025-10-10T21:14:11Z,3657.8443262544733,3716.8488537531775,3846.129144020368,3716.05660742,0.99978685,24,47628,129127208515966880105,1760130827,3750.501078,3655.717389,outputs/october-price-gap/23549939-1.json.gz,3743.4869074000003,3653.0374430999996,outputs/october-price-gap/23549939-10.json.gz,3710.29870634,3626.44113289,outputs/dense-crash/raw/23549939-WETH-USDC-100.json.gz
23549942,0xa8d4e03c7646e084c487818e44b889e8056f4b171aa4e88d48c95259c38e9073,2025-10-10T21:14:47Z,3696.261384324845,3754.41025254533,3819.0395211490936,3753.61,0.99978685,24,47664,129127208515966880106,1760130863,3713.881049,3694.126525,outputs/october-price-gap/23549942-1.json.gz,3705.9717886,3691.5674458000003,outputs/october-price-gap/23549942-10.json.gz,3678.0077973200005,3665.38879439,outputs/dense-crash/raw/23549942-WETH-USDC-100.json.gz
23549945,0x7b7b91c676b6636d6d8b08b1ed1175836bb2b4a2e2a062274f7a37eda6df60b8,2025-10-10T21:15:23Z,3773.8852409481487,3699.7281970652043,3819.0395211490936,3698.9396,0.99978685,24,47700,129127208515966880107,1760130899,3775.870393,3771.671326,outputs/october-price-gap/23549945-1.json.gz,3772.3067574,3768.7259591,outputs/october-price-gap/23549945-10.json.gz,3753.87659519,3740.27295497,outputs/dense-crash/raw/23549945-WETH-USDC-100.json.gz
23549948,0x69ee3c874028b9e40d473f9f2dc47c76063b1ab74e240f2d838a47204576f932,2025-10-10T21:15:59Z,3709.9976053853657,3699.7281970652043,3747.2739540027023,3698.9396,0.99978685,60,47736,129127208515966880107,1760130899,3761.294208,3707.870361,outputs/october-price-gap/23549948-1.json.gz,3740.9498925,3705.4209061,outputs/october-price-gap/23549948-10.json.gz,3716.58107881,3679.85815488,outputs/dense-crash/raw/23549948-WETH-USDC-100.json.gz
23549951,0x18f8315b41f0393056e7e77af77c3a1dbb08a0320f038ea7fecfb99fda62520f,2025-10-10T21:16:35Z,3696.849797742139,3734.686190771563,3704.241297122887,3733.89014241,0.99978685,0,47772,129127208515966880109,1760130995,3695.113562,3694.714,outputs/october-price-gap/23549951-1.json.gz,3692.8788134,3692.1497023999996,outputs/october-price-gap/23549951-10.json.gz,3676.65775678,3665.9886196800003,outputs/dense-crash/raw/23549951-WETH-USDC-100.json.gz
23549954,0x22ebbdedf2cc8ee4f4018cde4584d55d917756f5997a84fd22a305e79f35a84d,2025-10-10T21:17:11Z,3512.608031225447,3734.686190771563,3704.241297122887,3733.89014241,0.99978685,36,47808,129127208515966880109,1760130995,3674.284906,3510.551783,outputs/october-price-gap/23549954-1.json.gz,3668.2089438000003,3507.2625028,outputs/october-price-gap/23549954-10.json.gz,3647.54899686,3474.7627583599997,outputs/dense-crash/raw/23549954-WETH-USDC-100.json.gz
23549957,0x589d03264c3b0ba7d31f96ad0e82803a028ec41ca90079c65fbc7f8ea4218db8,2025-10-10T21:17:47Z,3609.3493126691255,3584.457032286432,3747.560358277801,3583.69300527,0.99978685,0,47844,129127208515966880110,1760131067,3637.66864,3607.25133,outputs/october-price-gap/23549957-1.json.gz,3631.9579394,3604.6136956,outputs/october-price-gap/23549957-10.json.gz,3609.37872018,3577.9558248,outputs/dense-crash/raw/23549957-WETH-USDC-100.json.gz
23549960,0x8232b6abfb4f0dfaa21ce6d5d8afdee1f2f4792b1674bb22fc3729e7de6fc5bf,2025-10-10T21:18:23Z,3551.6101379759043,3651.932194347225,3747.560358277801,3651.153785,0.99978685,12,47880,129127208515966880111,1760131091,3634.036352,3549.456772,outputs/october-price-gap/23549960-1.json.gz,3607.3303458,3546.0482791000004,outputs/october-price-gap/23549960-10.json.gz,3555.3885878700003,3513.9354417,outputs/dense-crash/raw/23549960-WETH-USDC-100.json.gz
23549963,0x2ce316cffbb05ee60792fa5d08e68ffca7f772e4525b44f7f54b38077d078318,2025-10-10T21:18:59Z,3444.556973588423,3595.3528714645527,3585.3371302672645,3594.586522,0.99978685,12,47916,129127208515966880112,1760131127,3636.234815,3442.487283,outputs/october-price-gap/23549963-1.json.gz,3591.8505342,3439.3644037999998,outputs/october-price-gap/23549963-10.json.gz,3486.8310367699996,3408.58088388,outputs/dense-crash/raw/23549963-WETH-USDC-100.json.gz
23549966,0x84f3f13724d20ec4fba2fa312bc33cc0f0f531d566cb7d50b2c5faf31a9c0e10,2025-10-10T21:19:35Z,3451.4220392030365,3595.3528714645527,3585.3371302672645,3594.586522,0.99978685,48,47952,129127208515966880112,1760131127,3505.059013,3449.339785,outputs/october-price-gap/23549966-1.json.gz,3478.4342074,3446.1779268,outputs/october-price-gap/23549966-10.json.gz,3446.67032018,3415.26752614,outputs/dense-crash/raw/23549966-WETH-USDC-100.json.gz
23549969,0xb176d819380cb233fd6ae5c4db5f6cbc7b4fa47f3c4683607c9a88da69d3b170,2025-10-10T21:20:11Z,3374.054999387681,3500.760627967851,3585.3371302672645,3500.01444084,0.99978685,0,47988,129127208515966880114,1760131211,3505.088819,3372.032791,outputs/october-price-gap/23549969-1.json.gz,3467.9954568000003,3369.0193663,outputs/october-price-gap/23549969-10.json.gz,3441.5951342999997,3339.08343934,outputs/dense-crash/raw/23549969-WETH-USDC-100.json.gz
23549972,0xbb321c1c691f9b61031e75ecd681360a448d542a8bc592be03d06a877a4e6dd9,2025-10-10T21:20:47Z,3439.5510362194586,3465.135193566509,3585.3371302672645,3464.3966,0.99978685,0,48024,129127208515966880115,1760131247,3505.335448,3437.484803,outputs/october-price-gap/23549972-1.json.gz,3461.2009038999995,3434.3732692999997,outputs/october-price-gap/23549972-10.json.gz,3436.99736006,3403.6748768199996,outputs/dense-crash/raw/23549972-WETH-USDC-100.json.gz
23549975,0xb75f510f7f936391aab6ce90952bdd02802e025c7947d7c54b8ff803a3b89f90,2025-10-10T21:21:23Z,3394.8914871740253,3465.135193566509,3549.590413555911,3464.3966,0.99978685,36,48060,129127208515966880115,1760131247,3460.352839,3392.855165,outputs/october-price-gap/23549975-1.json.gz,3428.1571771000004,3389.8088510000002,outputs/october-price-gap/23549975-10.json.gz,3377.42830338,3359.65504243,outputs/dense-crash/raw/23549975-WETH-USDC-100.json.gz
23549978,0x5fffe65f73997b207243cdcba69614e71cf0770a5be3fc01caaa299a5645e055,2025-10-10T21:21:59Z,3308.4631787670473,3524.1486600368867,3549.590413555911,3523.39748775,0.99978685,24,48096,129127208515966880116,1760131295,3531.085612,3306.473054,outputs/october-price-gap/23549978-1.json.gz,3526.3928346000002,3303.4530845,outputs/october-price-gap/23549978-10.json.gz,3502.4986406,3271.83219789,outputs/dense-crash/raw/23549978-WETH-USDC-100.json.gz
23549981,0x010d48b80fa1e13e4cef08c52f9017a923165d94288c37e8ff2ef2b0ea6ad67c,2025-10-10T21:22:35Z,3359.9884833380993,3524.1486600368867,3457.424504930417,3523.39748775,0.99978685,60,48132,129127208515966880116,1760131295,3481.264783,3357.975547,outputs/october-price-gap/23549981-1.json.gz,3416.4720208,3354.9821249,outputs/october-price-gap/23549981-10.json.gz,3350.69425085,3325.02048924,outputs/dense-crash/raw/23549981-WETH-USDC-100.json.gz
23549984,0xbde45cbcf413e2f082aaedbd57c18cd0e6505a88cee4578980e725d6bc9c5443,2025-10-10T21:23:11Z,3328.4203556129696,3524.1486600368867,3457.424504930417,3523.39748775,0.99978685,96,48168,129127208515966880116,1760131295,3589.236057,3326.427244,outputs/october-price-gap/23549984-1.json.gz,3463.3631569,3323.3958747999995,outputs/october-price-gap/23549984-10.json.gz,3332.7721957100002,3292.49882272,outputs/dense-crash/raw/23549984-WETH-USDC-100.json.gz
23549987,0x932ec933f7505f02aab9cfea539045d47ad10b92f104a2d2c276ade3d1812182,2025-10-10T21:23:47Z,3336.54256575155,3524.1486600368867,3457.424504930417,3523.39748775,0.99978685,132,48204,129127208515966880116,1760131295,3408.893013,3334.544095,outputs/october-price-gap/23549987-1.json.gz,3367.5232225,3331.5756410000004,outputs/october-price-gap/23549987-10.json.gz,3322.3466212400003,3301.00523713,outputs/dense-crash/raw/23549987-WETH-USDC-100.json.gz
23549990,0x6a653b3ac704e375d7c9ae8a684b018f6731e0ac746131629d516cbffd89aa0f,2025-10-10T21:24:23Z,3621.797681585188,3667.2392931853424,3457.424504930417,3666.45762113,0.99978685,12,48240,129127208515966880117,1760131451,3619.708666,3619.692237,outputs/october-price-gap/23549990-1.json.gz,3617.4909926,3617.0434784999998,outputs/october-price-gap/23549990-10.json.gz,3597.67888017,3590.6094916399998,outputs/dense-crash/raw/23549990-WETH-USDC-100.json.gz
23549993,0xc588fa6e4f777470dd805682556262c69072f287db823021e22b2d394cbecd33,2025-10-10T21:24:59Z,3312.315408987201,3667.2392931853424,3457.424504930417,3666.45762113,0.99978685,48,48276,129127208515966880117,1760131451,3572.152336,3310.322976,outputs/october-price-gap/23549993-1.json.gz,3445.4129055,3307.298264,outputs/october-price-gap/23549993-10.json.gz,3324.6543393399998,3275.84890191,outputs/dense-crash/raw/23549993-WETH-USDC-100.json.gz
23549996,0x1ba955818ae7468457ff1902a5b73ec12dd52c3f9f31dbdf000d47c0ccec2377,2025-10-10T21:25:35Z,3308.9406035913557,3642.6582779619475,3655.288938262725,3641.88184535,0.99978685,0,48312,129127208515966880119,1760131535,3398.458584,3306.950167,outputs/october-price-gap/23549996-1.json.gz,3336.6642485999996,3303.9295444000004,outputs/october-price-gap/23549996-10.json.gz,3295.0301882100002,3272.3306653100003,outputs/dense-crash/raw/23549996-WETH-USDC-100.json.gz
