target_index,target_timestamp,target_utc,block_number,block_hash,block_timestamp,block_utc,diff_seconds,chainlink_price,oneinch_price,univ3_twap_300_price,univ3_twap_60_price,oneinch_gap_bps,univ3_300_gap_bps,univ3_60_gap_bps,chainlink_eth_age_seconds,chainlink_usdc_age_seconds,chainlink_status,oneinch_status,univ3_300_status,univ3_60_status
0,1788899015,2026-09-08T20:23:35+00:00,25935010,0x1ca8236245ba013a265d4474db525871493f7e0a926a49d4c467b8d26523400d,1788899015,2026-09-08T20:23:35+00:00,0,2490.638631,2483.473582,2486.699765,2485.705334,-28.77,-15.81,-19.81,720,44592,ok,ok,ok,ok
1,1788899615,2026-09-08T20:33:35+00:00,25935060,0x38c6b2ae346e92afc660a59f6db90452141bcaabbeffbccde909bae000368bee,1788899615,2026-09-08T20:33:35+00:00,0,2490.638631,2483.362853,2485.456788,2484.462854,-29.21,-20.81,-24.8,1320,45192,ok,ok,ok,ok
2,1788900215,2026-09-08T20:43:35+00:00,25935110,0xaa5b72d63a0ef7911cd2eea59b32c3dbb415c545b7befa55fceca37420243f44,1788900215,2026-09-08T20:43:35+00:00,0,2490.638631,2482.932751,2483.717664,2483.220995,-30.94,-27.79,-29.78,1920,45792,ok,ok,ok,ok
3,1788900815,2026-09-08T20:53:35+00:00,25935160,0xae90e618dad2195d398161a3764856c64ce14edad21ff804746047652d47e931,1788900815,2026-09-08T20:53:35+00:00,0,2490.638631,2483.557068,2484.462854,2484.959771,-28.43,-24.8,-22.8,2520,46392,ok,ok,ok,ok
4,1788901415,2026-09-08T21:03:35+00:00,25935210,0x98bf3b9f28728609d1407d7ab005b80e663236f1e6ac04d4dba88b10862b788a,1788901415,2026-09-08T21:03:35+00:00,0,2490.638631,2483.426207,2484.462854,2484.7113,-28.96,-24.8,-23.8,3120,46992,ok,ok,ok,ok
5,1788902015,2026-09-08T21:13:35+00:00,25935260,0xc27a9b0804b69a62fb8f61ab32a8bdd96fcb196a1349a8027707a08c560fda2f,1788902015,2026-09-08T21:13:35+00:00,0,2486.10384,2483.860802,2485.705334,2485.456788,-9.02,-1.6,-2.6,84,47592,ok,ok,ok,ok
6,1788902615,2026-09-08T21:23:35+00:00,25935310,0x2486b3101bad6a06ccac8d2b250b64008ed2eba3a5d893dce64d3629b863fc0c,1788902615,2026-09-08T21:23:35+00:00,0,2486.10384,2483.238942,2484.959771,2483.966036,-11.52,-4.6,-8.6,684,48192,ok,ok,ok,ok
7,1788903215,2026-09-08T21:33:35+00:00,25935360,0x68c9044e90d8ed96a1a0942cf68be72f73be219243710127f668301746113c57,1788903215,2026-09-08T21:33:35+00:00,0,2486.10384,2482.736686,2484.214432,2483.220995,-13.54,-7.6,-11.6,1284,48792,ok,ok,ok,ok
8,1788903815,2026-09-08T21:43:35+00:00,25935410,0xde3a8ea7cd616fcf7cd39b6b10d92c417c2caf8a7bda1fb06ef356467d37f512,1788903815,2026-09-08T21:43:35+00:00,0,2486.10384,2482.708722,2482.724425,2482.724425,-13.66,-13.59,-13.59,1884,49392,ok,ok,ok,ok
9,1788904415,2026-09-08T21:53:35+00:00,25935460,0x6fc6524d067c645e1f778e34575296abb86812994b43f9aa42cb509f4751c2ba,1788904415,2026-09-08T21:53:35+00:00,0,2486.10384,2482.237972,2482.476177,2480.739139,-15.55,-14.59,-21.58,2484,49992,ok,ok,ok,ok
10,1788905015,2026-09-08T22:03:35+00:00,25935510,0xc70ac3e817ae944d73ba3b424341ef94f7c55d2d7bccc457d2cc9bcbde522382,1788905015,2026-09-08T22:03:35+00:00,0,2486.10384,2484.350817,2483.469317,2486.202499,-7.05,-10.6,0.4,3084,50592,ok,ok,ok,ok
11,1788905615,2026-09-08T22:13:35+00:00,25935560,0xe1b7895dd1066bb7bea2244ac54246019204f968ae50dd42306e624b09eba25c,1788905615,2026-09-08T22:13:35+00:00,0,2483.243067,2482.794074,2483.220995,2482.724425,-1.81,-0.09,-2.09,48,51192,ok,ok,ok,ok
12,1788906215,2026-09-08T22:23:35+00:00,25935610,0x95625cb28766c5bd54cb5f69da75b4fd19726d588db00b0b26bb1f2810ad2f5a,1788906215,2026-09-08T22:23:35+00:00,0,2483.243067,2483.546863,2484.959771,2485.456788,1.22,6.91,8.91,648,51792,ok,ok,ok,ok
13,1788906815,2026-09-08T22:33:35+00:00,25935658,0xd7f640aff86d5cf9470425d4c206540d4158b97136a64bf5cf29cbb5f92edead,1788906815,2026-09-08T22:33:35+00:00,0,2483.243067,2483.618706,2484.959771,2484.7113,1.51,6.91,5.91,1248,52392,ok,ok,ok,ok
